Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C24, C25, C26, C5",0603,6,10uF,C96446
"C10, C11, C13, C16, C19, C22, C4, C7, C9",0402,9,100nF,C1525
"C12, C15, C8",0402,3,1uF,C52923
"C18, C6",0402,2,10nF,C15195
"C2, C3",0402,2,12pF,C1547
"C20, C29",0402,2,0.8pF,C76988
C21,0402,1,470nF,C47339
"C23, C28",0402,2,1.2pF,C76899
C30,0402,1,100pF,C77177
D2,0402,1,LED Red,C25503345
L1,0805,1,15uH,C383402
"L2, L3",0402,2,3nH,C2041661
L4,0402,1,2nH,C76884
"R1, R13, R15, R2, R6, R8",0402,6,10k,C25744
"R10, R11, R12, R14, R3, R4, R5",0402,7,470,C25117
R7,0402,1,33k,C25779
U1,SOT95P280X145-5N,1,SPX3819M5-L-3-3,C9055
U2,QFN56_7X7_EXP,1,ESP32-S3FN8,C2913196
U3,XCVR_SX1280IMLTRT,1,SX1280IMLTRT,C125969
"U4, U5, U6",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,3,DRV8837DSGR,C39159
Y1,XTAL_ECS-400-10-37B2-CKY-TR,1,ECS-400-10-37B2-CKY-TR,C5371760
Y2,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,CRYSTAL 52MHz 10pF SMD,C49253546
