Designator,Mid X,Mid Y,Rotation,Layer
AE1,104.13,-54.94,0.0,top
C1,101.31,-69.86,90.0,top
C10,93.19,-56.07,90.0,top
C11,96.38,-56.09,90.0,top
C12,95.44,-56.08,90.0,top
C13,88.6,-61.35,270.0,top
C14,98.35,-55.9,0.0,top
C15,92.02,-66.03,180.0,top
C16,101.04,-62.04,90.0,top
C18,100.06,-62.74,90.0,top
C19,103.01,-68.84,180.0,top
C2,98.4,-59.01,180.0,top
C20,103.46,-62.54,0.0,top
C21,104.48,-69.94,270.0,top
C22,106.38,-65.37,90.0,top
C23,103.46,-59.71,0.0,top
C24,98.0,-73.0,90.0,top
C25,93.5,-73.0,90.0,top
C26,89.0,-73.0,90.0,top
C28,103.46,-56.89,0.0,top
C29,103.93,-58.29,90.0,top
C3,98.45,-62.29,0.0,top
C30,102.98,-55.51,90.0,top
C4,88.63,-55.73,90.0,top
C5,96.32,-69.845,270.0,top
C6,98.4,-58.07,0.0,top
C7,98.44,-63.25,0.0,top
C8,98.4,-57.12,0.0,top
C9,93.88,-66.02,0.0,top
D2,100.35,-56.09,270.0,top
D3,101.31,-56.095,270.0,top
J1,104.5,-76.77,0.0,top
J3,89.7,-68.0,270.0,top
J4,100.0,-77.83,180.0,top
J5,95.5,-77.83,180.0,top
J6,91.0,-77.83,180.0,top
L1,105.85,-70.1325,270.0,top
L2,102.98,-61.125,90.0,top
L3,102.98,-58.295,90.0,top
L4,94.49,-56.11,270.0,top
R1,88.67,-65.12,270.0,top
R10,100.35,-57.9825,270.0,top
R11,101.14,-59.6,180.0,top
R12,101.14,-60.6,180.0,top
R13,97.04,-66.07,270.0,top
R14,96.06,-67.39,270.0,top
R15,91.57,-56.07,270.0,top
R16,101.31,-57.98,270.0,top
R2,88.65,-57.58,90.0,top
R3,88.64,-63.24,90.0,top
R4,88.61,-59.47,270.0,top
R5,89.61,-56.36,270.0,top
R6,90.57,-56.18,90.0,top
R7,103.03,-70.83,0.0,top
R8,103.03,-69.83,180.0,top
U1,98.82,-69.325,90.0,top
U2,93.3,-61.277599,270.0,top
U3,103.23,-65.66,0.0,top
U4,100.0,-73.0,90.0,top
U5,95.5,-73.0,90.0,top
U6,91.0,-73.0,90.0,top
Y1,98.84,-60.645,180.0,top
Y2,99.03,-65.495,90.0,top
